dayofweek,date,deptime,arrtime,crsarrtime,uniquecarrier,airline,flightnum,tailnum,actualelapsedtime,crselapsedtime,airtime,arrdelay,depdelay,origin,org_airport,dest,dest_airport,distance,taxiin,taxiout,cancelled,cancellationcode,diverted,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,fl_date,total_delay,is_delayed,flight_route,weekday_name,is_duplicate
4,3/1/2019,1829,1959,1925,WN,Southwest Airlines Co.,3920,N464WN,90,90,77,34,34,IND,Indianapolis International Airport,BWI,Baltimore-Washington International Airport,515,3,10,0,N,0,2,0,0,0,32,3/1/2019,34,TRUE,IND-BWI,Friday,FALSE
4,3/1/2019,1937,2037,1940,WN,Southwest Airlines Co.,509,N763SW,240,250,230,57,67,IND,Indianapolis International Airport,LAS,McCarran International Airport,1591,3,7,0,N,0,10,0,0,0,47,3/1/2019,57,TRUE,IND-LAS,Friday,FALSE
4,3/1/2019,1644,1845,1725,WN,Southwest Airlines Co.,1333,N334SW,121,135,107,80,94,IND,Indianapolis International Airport,MCO,Orlando International Airport,828,6,8,0,N,0,8,0,0,0,72,3/1/2019,80,TRUE,IND-MCO,Friday,FALSE
4,3/1/2019,1452,1640,1625,WN,Southwest Airlines Co.,675,N286WN,228,240,213,15,27,IND,Indianapolis International Airport,PHX,Phoenix Sky Harbor International Airport,1489,7,8,0,N,0,3,0,0,0,12,3/1/2019,15,FALSE,IND-PHX,Friday,FALSE
4,3/1/2019,1323,1526,1510,WN,Southwest Airlines Co.,4,N674AA,123,135,110,16,28,IND,Indianapolis International Airport,TPA,Tampa International Airport,838,4,9,0,N,0,0,0,0,0,16,3/1/2019,16,TRUE,IND-TPA,Friday,FALSE
4,3/1/2019,1416,1512,1435,WN,Southwest Airlines Co.,54,N643SW,56,70,49,37,51,ISP,Long Island MacArthur Airport,BWI,Baltimore-Washington International Airport,220,2,5,0,N,0,12,0,0,0,25,3/1/2019,37,TRUE,ISP-BWI,Friday,FALSE
4,3/1/2019,1657,1754,1735,WN,Southwest Airlines Co.,623,N724SW,57,70,47,19,32,ISP,Long Island MacArthur Airport,BWI,Baltimore-Washington International Airport,220,5,5,0,N,0,7,0,0,0,12,3/1/2019,19,TRUE,ISP-BWI,Friday,FALSE
4,3/1/2019,1422,1657,1610,WN,Southwest Airlines Co.,188,N215WN,155,195,143,47,87,ISP,Long Island MacArthur Airport,FLL,Fort Lauderdale-Hollywood International Airport,1093,6,6,0,N,0,40,0,0,0,7,3/1/2019,47,TRUE,ISP-FLL,Friday,FALSE
4,3/1/2019,2107,2334,2230,WN,Southwest Airlines Co.,362,N798SW,147,165,134,64,82,ISP,Long Island MacArthur Airport,MCO,Orlando International Airport,972,6,7,0,N,0,5,0,0,0,59,3/1/2019,64,TRUE,ISP-MCO,Friday,FALSE
4,3/1/2019,1812,1927,1815,WN,Southwest Airlines Co.,422,N779SW,135,145,118,72,82,ISP,Long Island MacArthur Airport,MDW,Chicago Midway International Airport,765,6,11,0,N,0,3,0,0,0,69,3/1/2019,72,TRUE,ISP-MDW,Friday,FALSE
4,3/1/2019,1326,1559,1530,WN,Southwest Airlines Co.,1056,N459WN,153,180,143,29,56,ISP,Long Island MacArthur Airport,PBI,Palm Beach International Airport,1052,5,5,0,N,0,0,0,0,0,29,3/1/2019,29,TRUE,ISP-PBI,Friday,FALSE
4,3/1/2019,1450,1806,1745,WN,Southwest Airlines Co.,3244,N475WN,136,130,121,21,15,JAN,Jackson-Evers International Airport,BWI,Baltimore-Washington International Airport,888,7,8,0,N,0,0,0,6,0,15,3/1/2019,21,TRUE,JAN-BWI,Friday,FALSE
4,3/1/2019,2245,2354,1850,WN,Southwest Airlines Co.,186,N792SW,69,80,59,304,315,JAN,Jackson-Evers International Airport,HOU,William P. Hobby Airport,359,3,7,0,N,0,282,0,0,0,22,3/1/2019,304,TRUE,JAN-HOU,Friday,FALSE
4,3/1/2019,2025,2135,2100,WN,Southwest Airlines Co.,3154,N252WN,70,80,60,35,45,JAN,Jackson-Evers International Airport,HOU,William P. Hobby Airport,359,3,7,0,N,0,26,0,0,0,9,3/1/2019,35,TRUE,JAN-HOU,Friday,FALSE
